domain,size,count_fetched,count_errors,count_total,num_childs,time_elapsed in sec,avg fetching time in sec,avg size in kB,error percentage
forum.techtudo.com.br,563699723,3948,3,76907,0,5615.96,1.4224822695035462,142781.08485309017,0.0007593014426727411
techtudo.com.br,585430706,3905,46,19476,59,5349.97,1.3700307298335468,149918.23457106273,0.01164262212098203
g1.globo.com,1727953370,3777,169,25535,0,1615.72,0.4277786603124173,457493.61133174476,0.04282818043588444
www1.folha.uol.com.br,428501140,3737,4,33666,0,2732.26,0.7311372758897512,114664.47417714745,0.0010692328254477412
guia.folha.uol.com.br,661945854,3732,218,12846,251,9218.46,2.470112540192926,177370.27170418008,0.05518987341772152
fortnitetracker.com,545597238,3521,13,14311,0,3810.58,1.0822436807725078,154955.19397898324,0.0036785512167515563
notebookcheck.net,788710554,3498,95,51018,0,5018.84,1.434774156660949,225474.71526586622,0.026440300584469802
revistagalileu.globo.com,218030866,3496,438,7011,0,1969.8,0.5634439359267734,62365.808352402746,0.11133706151499746
compare.techtudo.com.br,586689989,3353,589,50124,0,2273.08,0.6779242469430361,174974.64628690726,0.14941653982749872
cbn.globoradio.globo.com,348515954,2366,1575,18868,0,355.271,0.1501568047337278,147301.75570583262,0.3996447602131439
guia.folha.com.br,542785943,2296,6,3835,0,6582.07,2.8667552264808362,236405.0274390244,0.0026064291920069507
catracalivre.com.br,178156274,2253,12,10236,0,3450.64,1.5315756768752773,79075.13271193963,0.005298013245033113
s2.glbimg.com,783809362,2199,30,2229,0,909.9,0.4137789904502046,356439.0004547522,0.013458950201884253
business.linkedin.com,356370113,2186,1739,5914,0,5462.82,2.4990027447392498,163023.83943275388,0.4430573248407643
villacountry.com.br,66879613,2168,0,2170,0,1921.89,0.8864806273062731,30848.529981549815,0.0
ticket360.com.br,307598124,2123,8,16881,0,7324.15,3.4499057936881767,144888.4239284032,0.003754106053496011
youtube.com,978513414,2117,341,2506,0,1405.02,0.6636844591402928,462217.0118091639,0.1387306753458096
pt.wikipedia.org,239515456,2093,332,99293,0,3178.1,1.5184424271380792,114436.43382704252,0.13690721649484536
sescsp.org.br,135420389,2087,84,4371,0,11993.8,5.7469094393866795,64887.584571154766,0.03869184707508061
asus.com,316811437,1999,437,7898,0,2631.62,1.3164682341170584,158484.96098049026,0.17939244663382595
twitter.com,86089452,1886,1877,10424,0,1838.65,0.9748939554612938,45646.58112407211,0.4988041456284879
fotografia.folha.uol.com.br,433932523,1703,34,1737,0,9872.78,5.7972871403405755,254804.76981796828,0.01957397812320092
galeriavermelho.com.br,89892925,1691,11,4931,0,2122.51,1.2551803666469545,53159.624482554704,0.006462984723854289
respect.art.br,1141189264,1660,87,2490,0,19669.2,11.848915662650603,687463.4120481928,0.04979965655409273
livrariadavila.com.br,246477036,1603,4,23796,0,2944.62,1.8369432314410479,153759.84778540238,0.002489110143123833
prefeitura.sp.gov.br,48890860,1480,6,3893,0,2407.03,1.6263716216216217,33034.36486486487,0.004037685060565276
vg247.com,180575871,1386,758,59862,0,2286.63,1.6498051948051948,130285.62121212122,0.353544776119403
livraria.folha.com.br,4054440,1356,2,1358,0,1208.83,0.8914675516224189,2990.0,0.0014727540500736377
alleyclub.com.br,34133795,1343,15,2317,0,500.785,0.372885331347729,25416.07967237528,0.011045655375552283
blog.linkedin.com,221737584,1313,2619,4760,0,2868.59,2.184760091393755,168878.5864432597,0.6660732451678535
amazon.com.br,429166413,1281,1976,59562,0,1159.91,0.9054722872755661,335024.52224824356,0.6066932760208781
zoom.com.br,181687135,1245,1705,13857,0,849.449,0.6822883534136546,145933.44176706826,0.5779661016949152
museus.gov.br,32939727,1044,513,2750,0,3415.05,3.2711206896551728,31551.462643678162,0.32947976878612717
cidadedesaopaulo.com,66447983,1006,3,1744,0,1121.46,1.1147713717693837,66051.67296222664,0.002973240832507433
samsung.com,350893226,1005,149,4839,0,1050.12,1.0448955223880596,349147.4885572139,0.1291161178509532
mixbrasil.org.br,86134978,983,111,2673,0,6837.74,6.955991861648016,87624.59613428281,0.10146252285191956
usp.br,32363657,946,623,1885,0,672.884,0.7112938689217759,34211.053911205076,0.397068196303378
itaucultural.org.br,72598962,932,36,4130,0,1556.95,1.6705472103004293,77895.88197424893,0.0371900826446281
centrocultural.sp.gov.br,58595305,928,661,1658,0,3190.56,3.438103448275862,63141.49245689655,0.4159848961611076
tucca.org.br,51263712,825,581,1567,0,1307.5,1.584848484848485,62137.832727272726,0.4132290184921764
flickr.com,370667159,815,122,5033,0,1170.08,1.435680981595092,454806.33006134967,0.13020277481323372
ticket.com.br,50991430,750,58,996,0,1492.02,1.98936,67988.57333333333,0.07178217821782178
wetnwild.com.br,45149142,705,20,1011,0,1472.49,2.0886382978723406,64041.336170212766,0.027586206896551724
centrodaterra.com.br,22921810,684,10,694,0,545.731,0.7978523391812865,33511.41812865497,0.01440922190201729
linkedin.com,76270652,671,3268,8202,0,996.237,1.484704918032787,113667.14157973175,0.8296521959888297
mcb.org.br,141316948,612,0,2848,0,1285.14,2.099901960784314,230910.045751634,0.0
anos80.com.br,8807992,611,6,1406,0,400.744,0.6558821603927988,14415.698854337152,0.009724473257698542
donttouchmymoleskine.wordpress.com,40214505,605,21,2860,0,411.951,0.680910743801653,66470.25619834711,0.03354632587859425
galerialeme.com,28620326,592,0,803,0,1172.03,1.9797804054054053,48345.14527027027,0.0
openstreetmap.org,16858818,589,3,10256,0,1738.69,2.951935483870968,28622.780984719866,0.005067567567567568
teatroparaalguem.com.br,36048325,538,3,575,0,1010.13,1.8775650557620818,67004.32156133829,0.005545286506469501
aliancapelainfancia.org.br,23268769,532,33,565,0,978.802,1.8398533834586466,43738.28759398496,0.0584070796460177
myspace.com,54874985,522,1238,3643,0,724.181,1.3873199233716476,105124.49233716475,0.7034090909090909
fastgames.com.br,127241988,511,2,513,0,424.072,0.8298864970645793,249005.84735812133,0.003898635477582846
songkick.com,31475601,506,42,8688,0,2375.05,4.693774703557312,62204.745059288536,0.07664233576642336
amazon.com,117681818,492,166,21104,0,674.092,1.3701056910569105,239190.6869918699,0.25227963525835867
runnercafe.com.br,7277525,434,0,434,0,54.5281,0.12564078341013826,16768.49078341014,0.0
itunes.apple.com,103529574,414,2,2638,0,371.695,0.8978140096618358,250071.4347826087,0.004807692307692308
facebook.com,214676807,411,1733,7416,0,707.952,1.7225109489051096,522327.99756691,0.8083022388059702
search.folha.com.br,77867752,389,25,414,0,1277.86,3.284987146529563,200174.16966580978,0.06038647342995169
beatport.com,90298125,379,347,25115,0,1709.8,4.511345646437994,238253.62796833774,0.47796143250688705
clube.uol.com.br,22350587,345,46,391,0,376.662,1.0917739130434783,64784.310144927535,0.11764705882352941
palaisdetokyo.com,10293008,345,4,510,0,931.832,2.70096231884058,29834.80579710145,0.011461318051575931
cbbar.com.br,8780885,299,4,303,0,504.921,1.6886989966555184,29367.508361204014,0.013201320132013201
teatroalfa.com.br,37304953,277,478,755,0,1073.39,3.875054151624549,134674.92057761733,0.633112582781457
mz.usp.br,34369728,276,28,355,0,394.844,1.4305942028985508,124528.0,0.09210526315789473
nouvellesvagues.com,47674810,259,160,419,0,1147.71,4.431312741312741,184072.62548262547,0.3818615751789976
learning.linkedin.com,30553912,220,49,269,0,464.892,2.1131454545454544,138881.41818181818,0.1821561338289963
almanara.com.br,3618446,206,0,206,0,91.7026,0.4451582524271845,17565.271844660194,0.0
thomaslannette.com,517700,176,14,190,0,118.822,0.675125,2941.4772727272725,0.07368421052631578
cinemark.com.br,14866383,176,25,201,0,66.4507,0.37756079545454546,84468.08522727272,0.12437810945273632
spaweek.com.br,11238812,175,0,175,0,35.3329,0.20190228571428573,64221.782857142854,0.0
teatrofolha.com.br,9311052,169,0,169,0,188.45,1.1150887573964496,55094.98224852071,0.0
truks.com.br,3084444,157,66,414,0,94.8638,0.604228025477707,19646.140127388535,0.29596412556053814
jockeysp.com.br,7766332,155,36,443,0,110.336,0.7118451612903226,50105.367741935486,0.18848167539267016
verciencia.com.br,5797747,134,42,176,0,99.6333,0.7435320895522388,43266.76865671642,0.23863636363636365
americanas.com.br,79639185,129,609,8489,0,128.769,0.9982093023255815,617358.023255814,0.8252032520325203
copocheio.blogfolha.uol.com.br,20494997,126,94,220,0,138.728,1.101015873015873,162658.70634920636,0.42727272727272725
guia1.folha.com.br,13542866,125,377,502,0,440.258,3.522064,108342.928,0.750996015936255
congressoiberoamericano.com.br,38010029,117,39,156,0,130.692,1.1170256410256412,324872.04273504275,0.25
blog.phila7.com.br,1160319,109,2,111,0,65.7478,0.6031908256880734,10645.128440366972,0.018018018018018018
ciarodamoinho.com,2294466,108,1,109,0,200.889,1.8600833333333335,21245.055555555555,0.009174311926605505
viradaesportivasp.com.br,3632340,107,0,107,0,164.231,1.5348691588785046,33947.102803738315,0.0
youtu.be,51805852,95,0,97,0,72.7955,0.7662684210526316,545324.7578947368,0.0
teatrodedanca.org.br,5152091,88,0,88,0,226.74,2.576590909090909,58546.48863636364,0.0
ticketbrasil.com.br,1654861,84,0,84,0,39.2514,0.4672785714285714,19700.72619047619,0.0
teatroderuinas.blogspot.com,3057919,79,11,90,0,84.4807,1.0693759493670887,38707.83544303798,0.12222222222222222
pobrejuan.com.br,2058287,75,0,75,0,13.5309,0.18041200000000002,27443.826666666668,0.0
raimundos.com.br,3178266,65,8,73,0,71.5658,1.1010123076923077,48896.4,0.1095890410958904
polls.folha.com.br,1333455,58,119,177,0,33.8819,0.5841706896551725,22990.603448275862,0.672316384180791
taramcpherson.com,14751670,58,1,59,0,41.251,0.7112241379310345,254339.1379310345,0.01694915254237288
open.spotify.com,3300731,58,1,59,0,49.258,0.8492758620689655,56909.15517241379,0.01694915254237288
darkdimensions.com.br,1617446,54,0,54,0,71.1843,1.3182277777777776,29952.703703703704,0.0
livrariadaesquina.com.br,944093,52,1,53,0,32.185,0.6189423076923077,18155.634615384617,0.018867924528301886
ingressorapido.com.br,504994,49,7,56,0,45.2697,0.9238714285714286,10306.0,0.125
1900.com.br,912396,40,2,42,0,34.6153,0.8653824999999999,22809.9,0.047619047619047616
anifriends.com.br,871654,39,10,49,0,59.7802,1.5328256410256411,22350.102564102563,0.20408163265306123
filmeb.com.br,1923387,36,1,570,0,52.1159,1.447663888888889,53427.416666666664,0.02702702702702703
doceiraanabella.com.br,663499,32,47,79,0,302.087,9.44021875,20734.34375,0.5949367088607594
about.linkedin.com,2958070,27,4,31,0,49.4043,1.829788888888889,109558.14814814815,0.12903225806451613
t.co,9100,26,0,28,0,13.5998,0.5230692307692307,350.0,0.0
surfacetoair.com.br,726007,26,0,26,0,34.9242,1.3432384615384616,27923.346153846152,0.0
publifolha.folha.com.br,12008,25,0,25,0,7.36047,0.29441880000000004,480.32,0.0
originalburger.com.br,293323,24,0,24,0,3.00108,0.125045,12221.791666666666,0.0
skolsensation.com.br,643017,23,0,23,0,65.1101,2.8308739130434786,27957.260869565216,0.0
folha.uol.com.br,3154027,23,0,23,0,28.0985,1.2216739130434784,137131.60869565216,0.0
sweetbr.com.br,13666609,20,0,20,0,59.8453,2.992265,683330.45,0.0
galetos.com.br,595240,19,7,26,0,23.9494,1.2604947368421053,31328.42105263158,0.2692307692307692
rascal.com.br,1158294,19,45,64,0,155.005,8.158157894736842,60962.84210526316,0.703125
livepass.com.br,1234581,18,9,27,0,10.0969,0.5609388888888889,68587.83333333333,0.3333333333333333
bongrille.com.br,1006974,18,1,19,0,35.7098,1.9838777777777779,55943.0,0.05263157894736842
opassatempo.com.br,821490,18,0,18,0,83.4802,4.637788888888888,45638.333333333336,0.0
